rel_id,name
0,alexanderplatz
0,BGrenzenLine
0,koepenick
0,mehringdamm
0,mrainline
0,PotsdamLine
0,thecenter
0,tiergarten
0,train7sections
0,westhafen
0,zoogarten
1,Aalemannufer
1,Aken
1,Barby
1,Breitenhagen
1,Caputh (Havel)
1,F10 (Wannsee)
1,F11 (Baumschulenstr. - Wilhelmstrand)
1,F12 (Dahme)
1,F21 (Krampe)
1,F23 (Kleiner Müggelsee)
1,F24 (Spree)
1,Fähre nach Lindwerder
1,Groß Rosenburg
1,Ketzin (Havel)
1,Personenfähre Straussee
1,Räbel (Elbe)
1,Saatwinkel - Hakenfelde
1,Sacrow - Glienicker Brücke
1,Stahlbrode - Losentitz
1,Strodehne (Havel)
1,Tegelort - Hakenfelde
1,Valentinswerder - Tegelort
2,(Insel im Habermannsee)
2,Alter Park
2,Baerwaldstr.
2,Baumwerder
2,Bellevuepark
2,Berliner Forst Düppel
2,Berliner Forst Spandau
2,Berliner Forst Tegel
2,Berliner Stadtforst Köpenick
2,Bosepark
2,Botanischer Garten
2,Britzer Garten
2,Brosepark
2,Buga-Gelände
2,Bäkepark
2,Böcklerpark
2,Bürgerpark
2,Dammheide
2,Der Insulaner
2,ehem. Luisenstädtischer Kanal
2,Eiswerder
2,Erholungspark Marzahn (Kienberg)
2,Ernst-Thälmann-Park
2,Finkenpark
2,Fischtalpark
2,Flughafen Berlin-Schönefeld
2,Flughafen Tegel
2,Flughafen Tempelhof
2,Franckepark
2,Freizeit- und Erholungspark Lübars
2,Freizeitpark Marienfelde
2,Freizeitpark Tegel
2,Fritz-Schloß-Park
2,Gatower Heide
2,Gemeindepark Lankwitz
2,Goethepark
2,Grimmstr.
2,Großer Kuhwall
2,Grunewald
2,Gutspark Britz
2,Gutspark Marienfelde
2,Görlitzer Park
2,Hasenheide
2,Heinrich-Lassen-Park
2,Heinrich-von-Kleist-Park
2,Hochmeisterplatz
2,Insel der Jugend
2,Jungfernheide
2,Kapellenberg
2,Kleiner Kuhwall
2,Kleiner Tiergarten
2,Krummendammer Heide
2,Köllnische Heide
2,Königsheide
2,Körnerpark
2,Landschaftspark Wuhletal
2,Landschaftspark Wuhletal (Ahrensfelder Berge)
2,Landschaftspark Wuhletal (Biesdorfer Berg)
2,Lessinghöhe
2,Liebesinsel
2,Lietzenseepark
2,Lilienthalpark
2,Lindwerder
2,Luisenhain
2,Maienwerder
2,Marienhöhe
2,Mauerpark
2,Mendelssohn-Bartholdy-Park
2,Messelpark
2,Mittelheide
2,Monbijoupark
2,Neuer Garten
2,NSG
2,Park am Buschkrug
2,Park Babelsberg
2,Park Sanssouci
2,Pfingstberg
2,Plänterwald
2,Preußenpark
2,Rehwiese
2,Reiswerder
2,Rudolph-Wilde-Park
2,Rudower Höhe
2,Ruinenberg
2,Scharfenberg
2,Schillerpark
2,Schlesischer Busch
2,Schloßgarten Charlottenburg
2,Schloßpark Köpenick
2,Schloßpark Lichterfelde
2,Schloßpark Niederschönhausen
2,Schloßpark Tegel
2,Schmöckwitzer Werder
2,Stadtpark Biesdorf
2,Stadtpark Lichtenberg
2,Stadtpark Steglitz
2,Thielpark
2,Thomashöhe
2,Tiergarten
2,Tierpark Friedrichsfelde
2,Treptower Park
2,Triestpark
2,Valentinswerder
2,Viktoriapark
2,Volkspark am Weinberg
2,Volkspark Anton Saefkow
2,Volkspark Friedrichshain
2,Volkspark Humboldthain
2,Volkspark Jungfernheide
2,Volkspark Mariendorf
2,Volkspark Prenzlauer Berg
2,Volkspark Rehberge
2,Volkspark Schönholzer Heide
2,Volkspark Wilmersdorf
2,Waldeckpark
2,Waldpark Steinberg
2,Werner-von-Siemens-Park
2,Wuhlheide
2,Wuhlheide (Volkspark und FEZ)
2,Zitadelle
2,Zoologischer Garten
3,Acud
3,Adria
3,Alhambra Too Berlin
3,Alpha Spandau
3,Arkona-Kinos
3,Arsenal
3,Astor
3,Astra Filmpalast
3,Babylon
3,Balazs
3,Bali Kino
3,Blauer Stern Pankow
3,Blow Up
3,Boerse
3,Broadway
3,Bundesplatz-Studio
3,Camera im Tacheles
3,Capitol Dahlem
3,Central
3,Checkpoint
3,Cinema am Walther-Schreiber-Platz
3,Cinema Paris
3,CinemaxX Colosseum
3,CinemaxX Hohenschönhausen
3,CinemaxX Potsdamer Platz
3,CineStar 3-D-IMAX Potsdamer Platz
3,CineStar Hellersdorf
3,CineStar Potsdamer Platz
3,City Wedding
3,Cosima
3,Delphi-Filmpalast am Zoo
3,Eiszeit
3,Eva-Lichtspiele
3,Filmbühne Am Steinplatz
3,Filmkunst 66
3,Filmkunsthaus Babylon
3,Filmpalast Berlin
3,Filmrauschpalast
3,Filmtheater am Friedrichshain
3,Filmtheater Friedrichstraße
3,Fsk am Oranienplatz
3,Hackesche Höfe
3,Hollywood
3,Inselkino
3,International
3,Intimes
3,Kant-Kino
3,Kino im Etnologischen Museum Berlin
3,Kino in der Brotfabrik
3,Kino Kiste
3,Kinocenter Spandau
3,Kinowelt in den Spreehöfen
3,Klick
3,Lichtblick-Kino
3,Manhattan
3,Moviemento
3,Neues Off
3,Nickelodeon
3,Nord
3,Odeon
3,Passage
3,Provinz
3,Regenbogen Kino
3,Scala
3,Sojus Berlin
3,Sputnik Südstern
3,Studentischer Kinoclub an der HUB
3,Thalia Movie Magic
3,Tilsiter-Lichtspiele
3,Titania Palast
3,UCI Kinowelt Friedrichshain
3,UCI Kinowelt Gropius Passagen
3,UCI Kinowelt Le Prom Marzahn
3,UCI Kinowelt Zoo Palast
3,UFA-Arthouse Die Kurbel
3,UFA-Filmbühne Wien
3,UFA-Marmorhaus Berlin
3,UFA-Palast Kosmos
3,UFA-Palast Treptower Park
3,Urania-Filmbühne
3,Venus
3,Xenon
3,Yorck
4,A Trane
4,Abraxas
4,Acud
4,Aktionsgalerie
4,Alberts
4,Alibi Bar
4,Altensteiner Krug
4,Alter Fritz 
4,Am Wasserturm
4,Anfall
4,Anita Wronski
4,Arcanoa
4,Assel
4,Atelier 89
4,Atlantic
4,Babel
4,Badenscher Hof
4,Ballhaus Naunynstraße
4,Ballhaus Spandau
4,Barfly
4,Barricade
4,Bergwerk
4,Bergwerk / Würfel
4,Berliner Prater
4,Bermuda Dreieck
4,bibo-bar
4,Bierhaus III
4,Bierkeller Siegmundshof
4,Bistro (Bei Schorsch)
4,BKA
4,BKA im Zelt
4,BlaBla
4,Black Bar
4,Blackpoint
4,Blues Café Berlin
4,Boogaloo
4,Bordo
4,Brauhaus Johann Albrecht
4,Brauhaus Spandau
4,Brokers
4,Bronx
4,Bumerang
4,Bunker
4,Café Caprice
4,Café CC
4,Café Cralle
4,Café Esscapade
4,Café Hardenberg
4,Café Kö
4,Café Lietze
4,Café M
4,Café Merlin
4,Café Moskau
4,Café Nollendorf
4,Café Savarin
4,Café Swing
4,Café Westphal
4,Casa
4,Casablanca
4,Celtic Cottage 
4,Cinema
4,Cinematograph (auch Max)
4,Cisch Club 
4,Clooney's
4,Clärchens Ballhaus
4,Comic
4,Cube Club
4,Dachsbau 
4,Deichgraf
4,Delicious Doughnuts
4,Deponie Nr. 1
4,Deponie Nr.3
4,Deutschlandhalle
4,Dicke Wirtin
4,Die Blauen Tanten
4,Dildile
4,Distel 
4,Domäne Dahlem
4,Drittes Ohr
4,Drugstore
4,Drugstore 2
4,Dublin Castle
4,Duncker
4,Eimer
4,El Cubra libre
4,Engelbecken
4,Enzian
4,E-Werk
4,Ex (im Mehringhof)
4,Fabrik Osloer Straße
4,Far Out
4,Feinbäckerei
4,Filmriß
4,Finnegans 
4,Fleisch und Wurst
4,Flying Dutchman
4,Franken
4,Franz
4,Franziskaner
4,Freilichtbühne Zitadelle
4,Fünf Ziegen
4,Gebrüder Salomon
4,Geierwally 
4,Glass-Haus
4,GoGo Club
4,Go-Gärtchen
4,Goldener Hahn
4,Golgatha
4,Gondel
4,Gri Gri
4,Gänsemarkt
4,Hackbart's Bar
4,Harlow's
4,Havanna
4,Hexen Pub
4,Hexenschuß
4,Hotel Hamburg
4,House of Music 
