id,name,GeoData,place_name_attr
1,Faehren,line,Ort
2,Flaechen,region,Name
3,Kinos,point,Name
4,Kneipen,point,Name
5,Landstrassen,line,Name
6,Landstrassen2,line,Name
7,Orte2,point,Name
8,OrteCity,point,Name
9,PLZBoundaries,line,PLZ
10,Plaetze,point,Name
11,RBahn,line,Name
12,RBahnhof,point,Name
13,Restaurants,point,Name
14,SBahn,line,Name
15,SBahnhof,point,Name
16,Sehenswuerdaspoints,points,
17,Sehenswuerdpoi,point,Name
18,Sehenswuerdpoi2,point,Name
19,Sehenswuerdreg,region,Name
20,UBahn,line,Name
21,UBahnhof,point,Name
22,WFlaechen,region,Name
23,WStrassen,line,Name
24,Wasserumland2,line,Name
25,strassen,line,Name
26,train7stations,points,
27,road,line,Name
28,poi,point,Name
29,water,region,Name
30,waterway,line,Name
31,Orte,,
32,Staedte,,
33,plz,,
